Polynomial Degree,Mean Error,Max Error,Total Time,Method
1,-4.325992887339929,-3.469778526223738,15.639167070388794,Unnormalised OLS
2,-4.013084647302576,-3.0835055612653126,25.90468454360962,Unnormalised OLS
3,0.0,0.0,14.437344074249268,Unnormalised OLS
4,0.0,0.0,14.437344074249268,Unnormalised OLS
5,0.0,0.0,14.437344074249268,Unnormalised OLS
1,-4.325992887328124,-3.4697785262301384,15.586324214935303,Normalised OLS
2,-4.01308462776451,-3.083505589060192,25.911712884902954,Normalised OLS
3,-4.0738867501971,-3.386845549000998,34.35313630104065,Normalised OLS
4,0.0,0.0,14.305747032165527,Normalised OLS
5,0.0,0.0,14.305747032165527,Normalised OLS
1,-4.325992887328132,-3.469778526228147,17.915065050125122,Hermite OLS
2,-4.013084627760864,-3.083505589060075,38.42127251625061,Hermite OLS
3,-4.073886839024947,-3.3868455146555734,51.039522886276245,Hermite OLS
4,-3.93350495908729,-3.0785197206718813,62.724205017089844,Hermite OLS
5,-3.8658511185601308,-2.7123841910935895,79.28411936759949,Hermite OLS
1,-2.60977941818431,-2.029509192611566,82.5671443939209,Smaller Regulation RLS-Tikhonov
2,-2.1773184212923153,-1.7973123058089688,247.80734658241272,Smaller Regulation RLS-Tikhonov
3,-2.141461880558275,-1.7796667457486268,470.35520005226135,Smaller Regulation RLS-Tikhonov
4,-2.138010137610379,-1.7779439548451823,701.9634459018707,Smaller Regulation RLS-Tikhonov
5,-2.1376656946173322,-1.7777718829866047,1029.6199645996094,Smaller Regulation RLS-Tikhonov
1,-2.609353029376057,-2.0289185888315595,98.46804189682007,Larger Regulation RLS-Tikhonov
2,-2.1770672505770174,-1.797231412146254,241.31668162345886,Larger Regulation RLS-Tikhonov
3,-2.1413072854372626,-1.7796293715643563,448.1696517467499,Larger Regulation RLS-Tikhonov
4,-2.137867378182056,-1.7779122242386571,690.5776331424713,Larger Regulation RLS-Tikhonov
5,-2.1375244495148773,-1.7777408620418602,1016.891585111618,Larger Regulation RLS-Tikhonov
